question,answer,context
Describe requirements engineering,"Requirements engineering (RE) is the process of defining, documenting, and maintaining requirements in the engineering design process.It is a common role in systems engineering and software engineering.","Requirements engineering (RE) is the process of defining, documenting, and maintaining requirements in the engineering design process. It is a common role in systems engineering and software engineering.
 
 The first use of the term requirements engineering was probably in 1964 in the conference paper ""Maintenance, Maintainability, and System Requirements Engineering"", but it did not come into general use until the late 1990s with the publication of an IEEE Computer Society tutorial in March 1997 and the establishment of a conference series on requirements engineering that has evolved into the International Requirements Engineering Conference.
 
 In the waterfall model, requirements engineering is presented as the first phase of the development process. Later development methods, including the Rational Unified Process (RUP) for software, assume that requirements engineering continues through a system's lifetime.
 
 Requirement management, which is a sub-function of Systems Engineering practices, is also indexed in the International Council on Systems Engineering (INCOSE) manuals."
Describe requirements analysis,"In systems engineering and software engineering, requirements analysis focuses on the tasks that determine the needs or conditions to meet the new or altered product or project, taking account of the possibly conflicting requirements of the various stakeholders, analyzing, documenting, validating and managing software or system requirements.Requirements analysis is critical to the success or failure of a systems or software project.","In systems engineering and software engineering, requirements analysis focuses on the tasks that determine the needs or conditions to meet the new or altered product or project, taking account of the possibly conflicting requirements of the various stakeholders, analyzing, documenting, validating and managing software or system requirements.Requirements analysis is critical to the success or failure of a systems or software project. The requirements should be documented, actionable, measurable, testable, traceable, related to identified business needs or opportunities, and defined to a level of detail sufficient for system design."
Describe requirement,"In product development and process optimization, a requirement is a singular documented physical or functional need that a particular design, product or process aims to satisfy.It is commonly used in a formal sense in engineering design, including for example in systems engineering, software engineering, or enterprise engineering.","In product development and process optimization, a requirement is a singular documented physical or functional need that a particular design, product or process aims to satisfy. It is commonly used in a formal sense in engineering design, including for example in systems engineering, software engineering, or enterprise engineering. It is a broad concept that could speak to any necessary (or sometimes desired) function, attribute, capability, characteristic, or quality of a system for it to have value and utility to a customer, organization, internal user, or other stakeholder. 
 
 Requirements can come with different levels of specificity; for example, a requirement specification or requirement ""spec"" (often imprecisely referred to as ""the"" spec/specs, but there are actually different sorts of specifications) refers to an explicit, highly objective/clear (and often quantitative) requirement (or sometimes, set of requirements) to be satisfied by a material, design, product, or service.A set of requirements is used as inputs into the design stages of product development. Requirements are also an important input into the verification process, since tests should trace back to specific requirements. Requirements show what elements and functions are necessary for the particular project. When iterative methods of software development or agile methods are used, the system requirements are incrementally developed in parallel with design and implementation. With the waterfall model requirements are developed before design and implementation."
Describe non - functional requirement ( nfr ),"In systems engineering and requirements engineering, a non-functional requirement (NFR) is a requirement that specifies criteria that can be used to judge the operation of a system, rather than specific behaviours.They are contrasted with functional requirements that define specific behavior or functions.The plan for implementing non-functional requirements is detailed in the system architecture, because they are usually architecturally significant requirements.","In systems engineering and requirements engineering, a non-functional requirement (NFR) is a requirement that specifies criteria that can be used to judge the operation of a system, rather than specific behaviours. They are contrasted with functional requirements that define specific behavior or functions. The plan for implementing functional requirements is detailed in the system design. The plan for implementing non-functional requirements is detailed in the system architecture, because they are usually architecturally significant requirements."
Describe commercial software,Commercial software can be proprietary software or free and open-source software.,"Commercial software, or seldom payware, is a computer software that is produced for sale or that serves commercial purposes. Commercial software can be proprietary software or free and open-source software."
Describe bofors hpm blackout,"Bofors HPM Blackout is a high-powered microwave weapon system, built by BAE Systems, which is stated to be able to destroy at distance a wide variety of commercial off-the-shelf (COTS) electronic equipment.It is stated to be non-lethal to humans.","Bofors HPM Blackout is a high-powered microwave weapon system, built by BAE Systems, which is stated to be able to destroy at distance a wide variety of commercial off-the-shelf (COTS) electronic equipment. It is stated to be non-lethal to humans. The total weight of the weapon system is less than 500 kg."
Describe software company,"A software company is a company whose primary products are various forms of software, software technology, distribution, and software product development.They make up the software industry.","A software company is a company whose primary products are various forms of software, software technology, distribution, and software product development. They make up the software industry."
Describe requirements management,"Requirements management is the process of documenting, analyzing, tracing, prioritizing and agreeing on requirements and then controlling change and communicating to relevant stakeholders.It is a continuous process throughout a project.","Requirements management is the process of documenting, analyzing, tracing, prioritizing and agreeing on requirements and then controlling change and communicating to relevant stakeholders. It is a continuous process throughout a project. A requirement is a capability to which a project outcome (product or service) should conform."
Describe product requirements document (PRD),"A product requirements document (PRD) is a document containing all the requirements for a certain product.The requirements are then analyzed by a (potential) makersupplier from a more technical point of view, broken down and detailed in a Functional Specification (sometimes also called Technical Requirements Document).","A product requirements document (PRD) is a document containing all the requirements for a certain product.
 
 It is written to allow people to understand what a product should do. A PRD should, however, generally avoid anticipating or defining how the product will do it in order to later allow interface designers and engineers to use their expertise to provide the optimal solution to the requirements.PRDs are most frequently written for software products, but can be used for any type of product and also for services. 
 
 Typically, a PRD is created from a user's point-of-view by a user/client or a company's marketing department (in the latter case it may also be called Marketing Requirements Document (MRD)). The requirements are then analyzed by a (potential) maker/supplier from a more technical point of view, broken down and detailed in a Functional Specification (sometimes also called Technical Requirements Document)."
Describe the role of a product requirements document (PRD),"It is written to allow people to understand what a product should do.A PRD should, however, generally avoid anticipating or defining how the product will do it in order to later allow interface designers and engineers to use their expertise to provide the optimal solution to the requirements.","A product requirements document (PRD) is a document containing all the requirements for a certain product.
 
 It is written to allow people to understand what a product should do. A PRD should, however, generally avoid anticipating or defining how the product will do it in order to later allow interface designers and engineers to use their expertise to provide the optimal solution to the requirements.PRDs are most frequently written for software products, but can be used for any type of product and also for services. 
 
 Typically, a PRD is created from a user's point-of-view by a user/client or a company's marketing department (in the latter case it may also be called Marketing Requirements Document (MRD)). The requirements are then analyzed by a (potential) maker/supplier from a more technical point of view, broken down and detailed in a Functional Specification (sometimes also called Technical Requirements Document)."
Describe the role of interface designers and engineers,"A PRD should, however, generally avoid anticipating or defining how the product will do it in order to later allow interface designers and engineers to use their expertise to provide the optimal solution to the requirements.","A product requirements document (PRD) is a document containing all the requirements for a certain product.
 
 It is written to allow people to understand what a product should do. A PRD should, however, generally avoid anticipating or defining how the product will do it in order to later allow interface designers and engineers to use their expertise to provide the optimal solution to the requirements.PRDs are most frequently written for software products, but can be used for any type of product and also for services. 
 
 Typically, a PRD is created from a user's point-of-view by a user/client or a company's marketing department (in the latter case it may also be called Marketing Requirements Document (MRD)). The requirements are then analyzed by a (potential) maker/supplier from a more technical point of view, broken down and detailed in a Functional Specification (sometimes also called Technical Requirements Document)."
Describe scope,"In project management, scope is the defined features and functions of a product, or the scope of work needed to finish a project.Scope involves getting information required to start a project, including the features the product needs to meet its stakeholders requirements.","In project management, scope is the defined features and functions of a product, or the scope of work needed to finish a project. Scope involves getting information required to start a project, including the features the product needs to meet its stakeholders' requirements.Project scope is oriented towards the work required and methods needed, while product scope is more oriented toward functional requirements. If requirements are not completely defined and described and if there is no effective change control in a project, scope or requirement creep may ensue.Scope management is listing the items to be produced or tasks to be done; their required quantity, quality, and variety; the time and resources available and agreed upon; and modifying the variable constraints by dynamic flexible juggling in the event of changed circumstances."
Describe application lifecycle management ( alm ),"Application lifecycle management (ALM) is the product lifecycle management (governance, development, and maintenance) of computer programs.It encompasses requirements management, software architecture, computer programming, software testing, software maintenance, change management, continuous integration, project management, and release management.","Application lifecycle management (ALM) is the product lifecycle management (governance, development, and maintenance) of computer programs. It encompasses requirements management, software architecture, computer programming, software testing, software maintenance, change management, continuous integration, project management, and release management."
